system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,30.0,15.0,36.0,134.0,131.0,170.0,12.0,29.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,14.0,454.0,20190216T102111_20190216T102131_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
1,65.0,1.0,27.0,21.0,11.0,137.0,118.0,174.0,15.0,26.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,14.0,13.0,452.0,20190216T102111_20190216T102131_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
2,96.0,156.0,80.0,63.0,158.0,408.0,238.0,392.0,163.0,174.0,139.0,126.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,42.0,26.0,2035.0,20190726T102031_20190726T102028_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
3,96.0,157.0,81.0,67.0,170.0,408.0,232.0,394.0,165.0,174.0,139.0,127.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,42.0,24.0,2024.0,20190726T102031_20190726T102028_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
4,101.0,288.0,91.0,93.0,284.0,379.0,291.0,332.0,225.0,222.0,190.0,164.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,39.0,30.0,682.0,20190407T102021_20190407T102458_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
5,107.0,273.0,89.0,92.0,282.0,386.0,282.0,327.0,217.0,214.0,193.0,151.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,40.0,29.0,699.0,20190407T102021_20190407T102458_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
6,65.0,294.0,85.0,72.0,312.0,345.0,241.0,350.0,198.0,202.0,180.0,145.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,36.0,25.0,700.0,20190419T101029_20190419T101030_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
7,65.0,289.0,85.0,73.0,319.0,345.0,253.0,352.0,198.0,205.0,179.0,144.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,36.0,26.0,708.0,20190419T101029_20190419T101030_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
8,83.0,247.0,81.0,64.0,300.0,370.0,248.0,322.0,230.0,223.0,200.0,165.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,38.0,26.0,712.0,20190402T102029_20190402T102026_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
9,89.0,232.0,79.0,63.0,300.0,371.0,251.0,316.0,216.0,213.0,197.0,160.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,39.0,26.0,724.0,20190402T102029_20190402T102026_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
10,198.0,273.0,87.0,88.0,231.0,281.0,190.0,364.0,190.0,175.0,154.0,114.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,29.0,20.0,1317.0,20190911T101021_20190911T101023_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
11,114.0,399.0,118.0,107.0,344.0,265.0,225.0,308.0,174.0,167.0,166.0,135.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,27.0,23.0,697.0,20191210T101411_20191210T101409_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
12,192.0,283.0,89.0,89.0,233.0,297.0,182.0,364.0,197.0,183.0,168.0,122.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,31.0,19.0,1316.0,20190911T101021_20190911T101023_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
13,95.0,233.0,54.0,55.0,272.0,306.0,216.0,245.0,124.0,116.0,101.0,79.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,32.0,22.0,588.0,20190409T101029_20190409T101028_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
14,312.0,394.0,117.0,84.0,376.0,504.0,370.0,616.0,452.0,449.0,368.0,340.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,52.0,38.0,2879.0,20190825T102031_20190825T102430_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
15,126.0,370.0,113.0,103.0,303.0,243.0,203.0,281.0,153.0,136.0,127.0,114.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,25.0,21.0,690.0,20191210T101411_20191210T101409_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
16,300.0,417.0,127.0,86.0,405.0,517.0,409.0,627.0,471.0,465.0,390.0,358.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,52.0,41.0,2842.0,20190825T102031_20190825T102430_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
17,59.0,138.0,121.0,116.0,220.0,347.0,244.0,335.0,163.0,175.0,169.0,142.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,36.0,26.0,655.0,20190422T102029_20190422T102029_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
18,59.0,135.0,119.0,113.0,211.0,337.0,241.0,336.0,167.0,174.0,169.0,143.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,35.0,26.0,652.0,20190422T102029_20190422T102029_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
19,95.0,236.0,53.0,54.0,259.0,305.0,211.0,250.0,127.0,120.0,106.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,31.0,22.0,572.0,20190409T101029_20190409T101028_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
20,90.0,302.0,75.0,85.0,290.0,612.0,345.0,608.0,176.0,184.0,145.0,108.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,63.0,36.0,1758.0,20190603T101031_20190603T101041_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
21,90.0,303.0,77.0,81.0,279.0,599.0,346.0,608.0,178.0,186.0,139.0,106.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,61.0,36.0,1772.0,20190603T101031_20190603T101041_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
22,59.0,202.0,44.0,50.0,284.0,234.0,194.0,267.0,122.0,114.0,114.0,96.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,24.0,20.0,594.0,20190218T101059_20190218T101421_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
23,59.0,200.0,44.0,55.0,271.0,247.0,201.0,264.0,127.0,112.0,113.0,97.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,26.0,21.0,588.0,20190218T101059_20190218T101421_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
24,65.0,130.0,71.0,66.0,152.0,230.0,184.0,277.0,113.0,108.0,102.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,24.0,20.0,840.0,20190417T102031_20190417T102431_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
25,138.0,244.0,13.0,22.0,351.0,209.0,122.0,229.0,60.0,66.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,22.0,13.0,1455.0,20191205T101309_20191205T101308_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
26,138.0,240.0,11.0,18.0,365.0,208.0,141.0,214.0,67.0,47.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,22.0,15.0,1443.0,20191205T101309_20191205T101308_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
27,65.0,134.0,72.0,63.0,144.0,238.0,185.0,275.0,117.0,109.0,106.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,25.0,20.0,872.0,20190417T102031_20190417T102431_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
28,186.0,284.0,74.0,71.0,282.0,380.0,235.0,367.0,189.0,214.0,150.0,146.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,39.0,24.0,2567.0,20190728T101029_20190728T101332_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
29,96.0,179.0,62.0,48.0,132.0,280.0,146.0,319.0,96.0,93.0,71.0,62.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,29.0,15.0,2317.0,20190723T101031_20190723T101347_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
