system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,60.0,204.0,116.0,109.0,274.0,451.0,321.0,508.0,236.0,231.0,222.0,176.0,104.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,47.0,33.0,726.0,20200421T102021_20200421T102321_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
1,60.0,203.0,115.0,109.0,262.0,462.0,322.0,506.0,234.0,227.0,216.0,175.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,47.0,33.0,727.0,20200421T102021_20200421T102321_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
2,168.0,203.0,56.0,69.0,250.0,433.0,219.0,396.0,86.0,88.0,62.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,44.0,23.0,2272.0,20200811T100559_20200811T101318_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
3,174.0,192.0,57.0,72.0,236.0,449.0,216.0,390.0,80.0,77.0,49.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,46.0,22.0,2279.0,20200811T100559_20200811T101318_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
4,60.0,137.0,65.0,53.0,253.0,363.0,245.0,490.0,190.0,176.0,168.0,111.0,34.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,38.0,25.0,445.0,20200406T101559_20200406T101807_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
5,60.0,249.0,73.0,61.0,299.0,450.0,301.0,489.0,214.0,214.0,182.0,143.0,78.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,46.0,31.0,800.0,20200423T100549_20200423T100736_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
6,60.0,134.0,62.0,53.0,246.0,367.0,247.0,485.0,188.0,174.0,165.0,109.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,37.0,26.0,449.0,20200406T101559_20200406T101807_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
7,60.0,249.0,72.0,62.0,304.0,444.0,298.0,491.0,214.0,212.0,184.0,136.0,81.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,46.0,31.0,799.0,20200423T100549_20200423T100736_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
8,78.0,222.0,87.0,78.0,258.0,337.0,237.0,393.0,185.0,205.0,176.0,148.0,129.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,35.0,25.0,1915.0,20200602T100559_20200602T101204_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
9,78.0,222.0,88.0,78.0,246.0,337.0,233.0,390.0,181.0,200.0,172.0,145.0,125.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,35.0,24.0,1911.0,20200602T100559_20200602T101204_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
10,90.0,165.0,30.0,48.0,244.0,231.0,184.0,256.0,115.0,109.0,118.0,64.0,,0.0,0.0,0.0,0.0,0.0,6.0,26.0,24.0,21.0,1125.0,20200117T102249_20200117T102248_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
11,90.0,173.0,32.0,39.0,236.0,221.0,178.0,258.0,114.0,108.0,116.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,24.0,19.0,1125.0,20200117T102249_20200117T102248_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
12,60.0,226.0,101.0,93.0,254.0,408.0,276.0,482.0,212.0,218.0,187.0,160.0,72.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,42.0,29.0,524.0,20200418T101031_20200418T101517_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
13,84.0,58.0,44.0,45.0,62.0,167.0,106.0,210.0,62.0,39.0,47.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,17.0,11.0,743.0,20200208T101151_20200208T101153_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
14,78.0,81.0,49.0,47.0,48.0,170.0,122.0,222.0,67.0,52.0,49.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,18.0,13.0,736.0,20200208T101151_20200208T101153_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
15,126.0,213.0,66.0,67.0,199.0,390.0,224.0,416.0,106.0,112.0,73.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,40.0,23.0,1726.0,20200816T101031_20200816T101030_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
16,66.0,162.0,98.0,84.0,241.0,323.0,244.0,393.0,179.0,189.0,168.0,111.0,87.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,33.0,26.0,880.0,20200506T101559_20200506T102006_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
17,120.0,355.0,31.0,37.0,363.0,209.0,144.0,204.0,30.0,48.0,6.0,37.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,22.0,15.0,1584.0,20201219T101329_20201219T101331_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
18,126.0,214.0,70.0,68.0,195.0,411.0,218.0,415.0,106.0,113.0,84.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,42.0,23.0,1738.0,20200816T101031_20200816T101030_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
19,66.0,156.0,98.0,87.0,243.0,317.0,243.0,398.0,181.0,187.0,166.0,111.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,34.0,26.0,885.0,20200506T101559_20200506T102006_T32UQD,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
20,114.0,375.0,41.0,44.0,398.0,241.0,148.0,222.0,49.0,77.0,52.0,60.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,25.0,16.0,1575.0,20201219T101329_20201219T101331_T33UUU,Beetzsee,52.487831950409934,12.607166700604537,"{""type"":""Point"",""coordinates"":[12.607166700604537,52.487831950409934]}"
