system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,60.0,219.0,112.0,103.0,198.0,528.0,279.0,313.0,164.0,181.0,156.0,139.0,368.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,54.0,29.0,726.0,20200421T102021_20200421T102321_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
1,60.0,165.0,113.0,106.0,191.0,522.0,276.0,326.0,160.0,183.0,153.0,153.0,263.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,55.0,30.0,727.0,20200421T102021_20200421T102321_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
2,168.0,120.0,101.0,75.0,158.0,229.0,120.0,141.0,78.0,94.0,73.0,78.0,195.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,24.0,13.0,2272.0,20200811T100559_20200811T101318_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
3,174.0,140.0,97.0,79.0,156.0,225.0,116.0,129.0,49.0,75.0,66.0,61.0,183.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,23.0,12.0,2279.0,20200811T100559_20200811T101318_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
4,60.0,195.0,120.0,78.0,262.0,480.0,287.0,444.0,157.0,183.0,160.0,110.0,246.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,48.0,29.0,445.0,20200406T101559_20200406T101807_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
5,60.0,263.0,104.0,96.0,302.0,568.0,285.0,341.0,196.0,160.0,172.0,178.0,268.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,58.0,29.0,800.0,20200423T100549_20200423T100736_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
6,60.0,172.0,124.0,75.0,258.0,480.0,286.0,445.0,164.0,199.0,162.0,133.0,189.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,49.0,30.0,449.0,20200406T101559_20200406T101807_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
7,60.0,230.0,97.0,101.0,301.0,568.0,285.0,335.0,181.0,180.0,171.0,158.0,221.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,58.0,29.0,799.0,20200423T100549_20200423T100736_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
8,72.0,280.0,133.0,90.0,288.0,507.0,267.0,298.0,190.0,205.0,206.0,210.0,430.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,52.0,28.0,1915.0,20200602T100559_20200602T101204_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
9,72.0,235.0,131.0,98.0,289.0,508.0,267.0,321.0,195.0,204.0,207.0,209.0,361.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,52.0,28.0,1911.0,20200602T100559_20200602T101204_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
10,90.0,151.0,62.0,41.0,252.0,171.0,150.0,193.0,151.0,111.0,111.0,101.0,59.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,19.0,17.0,1125.0,20200117T102249_20200117T102248_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
11,90.0,182.0,69.0,54.0,255.0,172.0,149.0,184.0,125.0,113.0,106.0,101.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,18.0,16.0,1125.0,20200117T102249_20200117T102248_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
12,60.0,260.0,111.0,80.0,215.0,555.0,281.0,327.0,123.0,142.0,164.0,118.0,305.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,57.0,29.0,524.0,20200418T101031_20200418T101517_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
13,84.0,146.0,139.0,119.0,90.0,209.0,197.0,268.0,183.0,168.0,201.0,132.0,242.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,22.0,21.0,743.0,20200208T101151_20200208T101153_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
14,78.0,154.0,154.0,122.0,102.0,225.0,207.0,276.0,229.0,180.0,209.0,170.0,219.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,23.0,22.0,736.0,20200208T101151_20200208T101153_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
15,126.0,134.0,107.0,67.0,117.0,215.0,127.0,113.0,57.0,57.0,94.0,26.0,218.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,22.0,13.0,1726.0,20200816T101031_20200816T101030_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
16,66.0,191.0,116.0,107.0,144.0,395.0,191.0,243.0,133.0,163.0,163.0,151.0,404.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,41.0,21.0,880.0,20200506T101559_20200506T102006_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
17,120.0,244.0,45.0,66.0,308.0,156.0,51.0,51.0,14.0,18.0,26.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,16.0,6.0,1584.0,20201219T101329_20201219T101331_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
18,126.0,162.0,106.0,64.0,119.0,215.0,127.0,121.0,45.0,42.0,96.0,47.0,280.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,22.0,13.0,1738.0,20200816T101031_20200816T101030_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
19,66.0,123.0,117.0,107.0,138.0,395.0,188.0,252.0,142.0,157.0,161.0,169.0,297.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,41.0,20.0,885.0,20200506T101559_20200506T102006_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
20,114.0,292.0,68.0,61.0,324.0,166.0,64.0,88.0,25.0,42.0,37.0,13.0,54.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,17.0,7.0,1575.0,20201219T101329_20201219T101331_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
21,60.0,205.0,125.0,85.0,212.0,554.0,282.0,327.0,130.0,128.0,162.0,131.0,271.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,57.0,29.0,539.0,20200418T101031_20200418T101517_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
22,138.0,210.0,77.0,52.0,332.0,180.0,140.0,183.0,93.0,95.0,118.0,90.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,19.0,15.0,1322.0,20200124T101219_20200124T101215_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
23,132.0,186.0,72.0,47.0,345.0,190.0,151.0,209.0,124.0,130.0,130.0,103.0,60.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,20.0,16.0,1304.0,20200124T101219_20200124T101215_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
24,144.0,482.0,127.0,112.0,386.0,656.0,421.0,548.0,285.0,263.0,274.0,194.0,327.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,67.0,43.0,998.0,20200408T101021_20200408T101022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
25,78.0,146.0,91.0,73.0,158.0,232.0,125.0,106.0,53.0,115.0,87.0,49.0,234.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,24.0,13.0,1777.0,20200801T100559_20200801T101400_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
26,144.0,443.0,140.0,104.0,386.0,652.0,421.0,553.0,275.0,268.0,272.0,209.0,315.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,67.0,43.0,992.0,20200408T101021_20200408T101022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
27,78.0,121.0,99.0,79.0,154.0,230.0,123.0,107.0,48.0,124.0,87.0,60.0,208.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,24.0,13.0,1769.0,20200801T100559_20200801T101400_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
28,90.0,144.0,81.0,56.0,220.0,188.0,111.0,140.0,102.0,162.0,123.0,111.0,217.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,20.0,12.0,1825.0,20200930T100729_20200930T101030_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
29,90.0,224.0,108.0,68.0,111.0,242.0,124.0,133.0,82.0,86.0,68.0,82.0,382.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,25.0,13.0,1745.0,20200806T101031_20200806T101511_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
30,66.0,102.0,189.0,139.0,118.0,239.0,159.0,194.0,174.0,212.0,237.0,223.0,397.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,25.0,17.0,812.0,20200918T102031_20200918T102401_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
31,90.0,173.0,101.0,90.0,108.0,238.0,125.0,114.0,100.0,90.0,67.0,100.0,321.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,25.0,13.0,1746.0,20200806T101031_20200806T101511_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
32,60.0,224.0,122.0,90.0,319.0,318.0,263.0,425.0,204.0,223.0,199.0,154.0,205.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,33.0,27.0,256.0,20200324T100649_20200324T100644_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
33,102.0,294.0,131.0,94.0,260.0,427.0,248.0,257.0,160.0,224.0,175.0,169.0,430.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,44.0,26.0,1888.0,20200615T101559_20200615T101946_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
34,84.0,172.0,73.0,54.0,228.0,196.0,113.0,157.0,110.0,156.0,132.0,117.0,218.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,20.0,12.0,1827.0,20200930T100729_20200930T101030_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
35,66.0,129.0,187.0,133.0,119.0,241.0,158.0,199.0,157.0,205.0,238.0,230.0,466.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,25.0,17.0,813.0,20200918T102031_20200918T102401_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
36,162.0,249.0,88.0,76.0,196.0,347.0,179.0,190.0,119.0,113.0,73.0,113.0,296.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,36.0,19.0,2514.0,20200627T101031_20200627T101243_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
