system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,78.0,150.0,51.0,23.0,192.0,194.0,86.0,84.0,120.0,126.0,98.0,106.0,86.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,21.0,10.0,1143.0,20210903T102021_20210903T102024_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
1,204.0,182.0,430.0,286.0,279.0,451.0,468.0,460.0,459.0,514.0,515.0,519.0,694.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,47.0,48.0,1183.0,20210225T102021_20210225T102421_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
2,78.0,150.0,52.0,20.0,195.0,196.0,83.0,85.0,117.0,120.0,103.0,103.0,102.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,20.0,9.0,1127.0,20210903T102021_20210903T102024_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
3,66.0,340.0,53.0,42.0,236.0,284.0,219.0,308.0,283.0,237.0,180.0,204.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,29.0,23.0,640.0,20210222T101021_20210222T101415_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
4,66.0,322.0,55.0,41.0,263.0,324.0,243.0,267.0,227.0,203.0,200.0,174.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,33.0,25.0,640.0,20210222T101021_20210222T101415_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
5,204.0,196.0,433.0,288.0,282.0,450.0,460.0,489.0,491.0,529.0,528.0,515.0,699.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,46.0,47.0,1182.0,20210225T102021_20210225T102421_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
6,60.0,129.0,44.0,36.0,240.0,291.0,103.0,50.0,48.0,57.0,57.0,47.0,56.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,31.0,12.0,946.0,20210531T101559_20210531T101558_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
7,60.0,132.0,45.0,34.0,233.0,288.0,101.0,55.0,42.0,59.0,55.0,44.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,30.0,11.0,948.0,20210531T101559_20210531T101558_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
8,138.0,305.0,67.0,55.0,315.0,269.0,152.0,126.0,82.0,87.0,60.0,54.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,28.0,16.0,2549.0,20210617T100559_20210617T101301_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
9,138.0,313.0,73.0,60.0,304.0,267.0,149.0,129.0,83.0,90.0,55.0,57.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,28.0,16.0,2541.0,20210617T100559_20210617T101301_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
10,81.0,189.0,58.0,49.0,233.0,226.0,84.0,69.0,18.0,44.0,29.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,23.0,9.0,1775.0,20210607T100559_20210607T101225_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
11,84.0,192.0,55.0,51.0,227.0,230.0,88.0,66.0,12.0,31.0,19.0,27.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,24.0,9.0,1806.0,20210607T100559_20210607T101225_T32UQD,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
12,66.0,138.0,51.0,32.0,132.0,143.0,63.0,54.0,45.0,61.0,75.0,82.0,56.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,15.0,7.0,587.0,20211010T100941_20211010T101120_T33UUU,Liepnitzsee,52.74465268782029,13.496440799469571,"{""type"":""Point"",""coordinates"":[13.496440799469571,52.744652687820285]}"
