system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,58.0,35.0,147.0,86.0,151.0,189.0,111.0,98.0,132.0,107.0,12.0,0.0,0.0,0.0,6.0,14.0,8.0,15.0,304.0,20180208T101151_20180208T101153_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
1,113.0,1.0,67.0,42.0,127.0,110.0,145.0,200.0,129.0,105.0,137.0,104.0,15.0,0.0,0.0,0.0,6.0,12.0,11.0,14.0,302.0,20180208T101151_20180208T101153_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
2,113.0,538.0,229.0,172.0,653.0,606.0,586.0,636.0,595.0,597.0,611.0,556.0,453.0,0.0,0.0,0.0,6.0,66.0,61.0,59.0,584.0,20180213T101119_20180213T101559_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
3,113.0,535.0,211.0,181.0,629.0,619.0,592.0,613.0,571.0,574.0,597.0,545.0,433.0,0.0,0.0,0.0,6.0,64.0,63.0,60.0,589.0,20180213T101119_20180213T101559_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
4,167.0,86.0,54.0,41.0,130.0,213.0,151.0,174.0,92.0,75.0,81.0,84.0,39.0,0.0,0.0,0.0,6.0,13.0,21.0,15.0,231.0,20180303T102021_20180303T102019_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
5,202.0,1.0,36.0,29.0,72.0,153.0,104.0,124.0,36.0,28.0,31.0,46.0,2.0,0.0,0.0,0.0,6.0,7.0,15.0,10.0,236.0,20180303T102021_20180303T102019_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
6,125.0,25.0,77.0,41.0,177.0,266.0,192.0,236.0,155.0,154.0,151.0,120.0,108.0,0.0,0.0,0.0,6.0,18.0,27.0,19.0,204.0,20180223T101019_20180223T101508_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
7,95.0,1.0,38.0,50.0,118.0,103.0,118.0,243.0,105.0,89.0,82.0,50.0,,0.0,0.0,0.0,6.0,9.0,12.0,12.0,1018.0,20181014T102019_20181014T102019_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
8,89.0,1.0,55.0,42.0,126.0,116.0,117.0,262.0,112.0,105.0,90.0,56.0,,0.0,0.0,0.0,6.0,12.0,12.0,13.0,1015.0,20181014T102019_20181014T102019_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
9,101.0,66.0,33.0,16.0,145.0,158.0,124.0,248.0,89.0,94.0,67.0,43.0,1.0,0.0,0.0,0.0,6.0,15.0,17.0,13.0,829.0,20181011T101019_20181011T101020_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
