system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,8.0,1.0,29.0,19.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,2.0,454.0,20190216T102111_20190216T102131_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
1,65.0,1.0,18.0,1.0,58.0,23.0,43.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,4.0,452.0,20190216T102111_20190216T102131_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
2,96.0,230.0,64.0,296.0,648.0,318.0,649.0,269.0,272.0,211.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,67.0,33.0,2035.0,20190726T102031_20190726T102028_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
3,96.0,240.0,58.0,305.0,640.0,309.0,658.0,267.0,269.0,207.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,66.0,32.0,2024.0,20190726T102031_20190726T102028_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
4,101.0,388.0,92.0,397.0,478.0,329.0,377.0,321.0,317.0,304.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,49.0,34.0,682.0,20190407T102021_20190407T102458_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
5,107.0,369.0,94.0,389.0,465.0,330.0,374.0,305.0,314.0,298.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,48.0,34.0,699.0,20190407T102021_20190407T102458_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
6,65.0,308.0,60.0,316.0,354.0,223.0,249.0,169.0,194.0,164.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,36.0,23.0,700.0,20190419T101029_20190419T101030_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
7,65.0,303.0,60.0,313.0,359.0,224.0,237.0,172.0,195.0,166.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,37.0,23.0,708.0,20190419T101029_20190419T101030_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
8,83.0,262.0,53.0,335.0,375.0,268.0,324.0,249.0,242.0,224.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,38.0,26.0,712.0,20190402T102029_20190402T102026_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
9,89.0,250.0,59.0,332.0,387.0,259.0,317.0,236.0,225.0,214.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,41.0,28.0,724.0,20190402T102029_20190402T102026_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
10,198.0,249.0,78.0,219.0,347.0,227.0,416.0,202.0,210.0,151.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,36.0,24.0,1317.0,20190911T101021_20190911T101023_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
11,114.0,325.0,80.0,282.0,248.0,190.0,204.0,142.0,132.0,158.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,26.0,20.0,697.0,20191210T101411_20191210T101409_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
12,192.0,211.0,82.0,230.0,346.0,228.0,439.0,222.0,236.0,172.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,36.0,24.0,1316.0,20190911T101021_20190911T101023_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
13,95.0,349.0,56.0,352.0,398.0,274.0,300.0,234.0,258.0,216.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,41.0,28.0,588.0,20190409T101029_20190409T101028_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
14,312.0,285.0,57.0,281.0,475.0,270.0,562.0,329.0,298.0,208.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,49.0,27.0,2879.0,20190825T102031_20190825T102430_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
