system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,60.0,158.0,99.0,88.0,186.0,289.0,220.0,218.0,145.0,148.0,136.0,130.0,113.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,30.0,23.0,726.0,20200421T102021_20200421T102321_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
1,60.0,154.0,102.0,88.0,190.0,289.0,225.0,222.0,146.0,157.0,138.0,129.0,108.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,30.0,22.0,727.0,20200421T102021_20200421T102321_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
2,168.0,186.0,59.0,34.0,232.0,310.0,175.0,428.0,109.0,123.0,72.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,32.0,18.0,2272.0,20200811T100559_20200811T101318_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
3,174.0,179.0,56.0,29.0,221.0,305.0,168.0,419.0,102.0,105.0,63.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,31.0,18.0,2279.0,20200811T100559_20200811T101318_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
4,60.0,106.0,49.0,38.0,193.0,282.0,162.0,177.0,86.0,94.0,88.0,63.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.0,17.0,445.0,20200406T101559_20200406T101807_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
5,60.0,217.0,63.0,43.0,249.0,309.0,173.0,210.0,116.0,125.0,115.0,99.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,32.0,18.0,800.0,20200423T100549_20200423T100736_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
6,60.0,103.0,49.0,34.0,196.0,275.0,173.0,185.0,89.0,96.0,86.0,81.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,27.0,16.0,449.0,20200406T101559_20200406T101807_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
7,60.0,216.0,65.0,34.0,245.0,312.0,175.0,197.0,114.0,123.0,121.0,102.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,32.0,18.0,799.0,20200423T100549_20200423T100736_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
8,78.0,207.0,89.0,57.0,216.0,290.0,192.0,246.0,140.0,168.0,144.0,139.0,153.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,30.0,20.0,1915.0,20200602T100559_20200602T101204_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
9,78.0,205.0,92.0,65.0,223.0,289.0,193.0,243.0,141.0,168.0,143.0,139.0,153.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,30.0,20.0,1911.0,20200602T100559_20200602T101204_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
10,90.0,109.0,31.0,26.0,219.0,156.0,85.0,111.0,58.0,51.0,49.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,16.0,11.0,1125.0,20200117T102249_20200117T102248_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
11,90.0,112.0,47.0,11.0,198.0,158.0,94.0,115.0,56.0,53.0,49.0,20.0,,0.0,0.0,0.0,0.0,0.0,6.0,20.0,18.0,11.0,1125.0,20200117T102249_20200117T102248_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
12,60.0,185.0,83.0,45.0,157.0,258.0,158.0,166.0,87.0,112.0,103.0,109.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,27.0,17.0,524.0,20200418T101031_20200418T101517_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
13,84.0,4.0,58.0,30.0,1.0,81.0,49.0,93.0,47.0,38.0,26.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,5.0,743.0,20200208T101151_20200208T101153_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
14,78.0,26.0,46.0,28.0,4.0,91.0,45.0,124.0,58.0,41.0,39.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,5.0,736.0,20200208T101151_20200208T101153_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
15,126.0,201.0,68.0,37.0,172.0,368.0,200.0,425.0,123.0,113.0,86.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,38.0,21.0,1726.0,20200816T101031_20200816T101030_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
16,66.0,118.0,53.0,39.0,166.0,203.0,145.0,171.0,94.0,102.0,96.0,67.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,21.0,15.0,880.0,20200506T101559_20200506T102006_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
17,120.0,268.0,3.0,18.0,274.0,156.0,70.0,59.0,1.0,1.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,16.0,8.0,1584.0,20201219T101329_20201219T101331_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
18,126.0,204.0,69.0,33.0,192.0,380.0,208.0,429.0,119.0,116.0,85.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,39.0,22.0,1738.0,20200816T101031_20200816T101030_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
19,66.0,118.0,46.0,35.0,168.0,210.0,146.0,164.0,87.0,98.0,91.0,71.0,58.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,22.0,16.0,885.0,20200506T101559_20200506T102006_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
20,114.0,293.0,1.0,30.0,287.0,172.0,74.0,75.0,27.0,1.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,18.0,8.0,1575.0,20201219T101329_20201219T101331_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
21,60.0,187.0,84.0,51.0,160.0,256.0,154.0,166.0,92.0,118.0,101.0,111.0,50.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,27.0,16.0,539.0,20200418T101031_20200418T101517_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
22,138.0,157.0,40.0,28.0,210.0,166.0,68.0,79.0,34.0,33.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,17.0,7.0,1322.0,20200124T101219_20200124T101215_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
23,132.0,173.0,45.0,29.0,197.0,183.0,92.0,92.0,43.0,27.0,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,19.0,10.0,1304.0,20200124T101219_20200124T101215_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
24,144.0,306.0,79.0,56.0,255.0,353.0,212.0,254.0,180.0,171.0,162.0,146.0,126.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,36.0,22.0,998.0,20200408T101021_20200408T101022_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
25,78.0,186.0,49.0,36.0,226.0,364.0,184.0,353.0,113.0,116.0,93.0,54.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,37.0,19.0,1777.0,20200801T100559_20200801T101400_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
26,144.0,307.0,83.0,56.0,255.0,360.0,211.0,240.0,186.0,171.0,160.0,140.0,125.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,37.0,22.0,992.0,20200408T101021_20200408T101022_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
27,78.0,185.0,50.0,41.0,230.0,372.0,185.0,347.0,114.0,115.0,92.0,56.0,44.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,38.0,19.0,1769.0,20200801T100559_20200801T101400_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
28,90.0,168.0,53.0,33.0,210.0,280.0,173.0,296.0,125.0,160.0,120.0,85.0,77.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,29.0,18.0,1825.0,20200930T100729_20200930T101030_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
29,90.0,320.0,262.0,197.0,289.0,437.0,316.0,562.0,385.0,386.0,349.0,351.0,546.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,45.0,33.0,1745.0,20200806T101031_20200806T101511_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
30,66.0,53.0,95.0,78.0,141.0,234.0,159.0,412.0,196.0,184.0,183.0,138.0,86.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,26.0,19.0,812.0,20200918T102031_20200918T102401_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
31,90.0,319.0,259.0,186.0,302.0,441.0,323.0,553.0,377.0,384.0,360.0,331.0,578.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,45.0,33.0,1746.0,20200806T101031_20200806T101511_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
32,60.0,226.0,49.0,26.0,266.0,302.0,196.0,190.0,133.0,134.0,115.0,103.0,69.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,31.0,20.0,256.0,20200324T100649_20200324T100644_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
