system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,138.0,312.0,50.0,37.0,300.0,273.0,118.0,103.0,44.0,42.0,24.0,14.0,91.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,28.0,12.0,2780.0,20210617T100559_20210617T101301_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
1,138.0,314.0,50.0,40.0,305.0,271.0,120.0,101.0,39.0,28.0,24.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,28.0,13.0,2795.0,20210617T100559_20210617T101301_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
2,66.0,216.0,51.0,26.0,226.0,216.0,78.0,66.0,46.0,57.0,42.0,39.0,82.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,22.0,8.0,1650.0,20210607T100559_20210607T101225_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
3,66.0,395.0,61.0,52.0,574.0,583.0,491.0,422.0,397.0,381.0,369.0,280.0,133.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,60.0,50.0,562.0,20210222T101021_20210222T101415_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
4,204.0,74.0,320.0,222.0,237.0,336.0,304.0,321.0,335.0,362.0,359.0,355.0,478.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,36.0,33.0,1348.0,20210225T102021_20210225T102421_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
5,66.0,215.0,48.0,29.0,234.0,218.0,79.0,58.0,44.0,52.0,43.0,31.0,45.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,23.0,9.0,1660.0,20210607T100559_20210607T101225_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
6,204.0,81.0,313.0,218.0,211.0,321.0,296.0,325.0,339.0,351.0,344.0,368.0,486.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,33.0,31.0,1359.0,20210225T102021_20210225T102421_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
7,66.0,397.0,62.0,46.0,577.0,549.0,474.0,397.0,362.0,332.0,365.0,269.0,99.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,56.0,49.0,560.0,20210222T101021_20210222T101415_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
8,84.0,110.0,85.0,74.0,184.0,191.0,88.0,62.0,41.0,62.0,33.0,51.0,123.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,20.0,10.0,1200.0,20210531T101559_20210531T101558_T32UQE,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
9,78.0,183.0,51.0,35.0,210.0,255.0,104.0,103.0,113.0,108.0,103.0,101.0,109.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,26.0,11.0,1143.0,20210903T102021_20210903T102024_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
10,204.0,131.0,321.0,219.0,271.0,354.0,312.0,331.0,355.0,384.0,372.0,372.0,403.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,36.0,32.0,1183.0,20210225T102021_20210225T102421_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
11,78.0,190.0,49.0,27.0,204.0,250.0,106.0,100.0,103.0,111.0,102.0,93.0,105.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,27.0,12.0,1127.0,20210903T102021_20210903T102024_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
12,66.0,438.0,62.0,47.0,601.0,560.0,479.0,407.0,369.0,338.0,368.0,272.0,121.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,57.0,49.0,640.0,20210222T101021_20210222T101415_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
13,66.0,430.0,63.0,53.0,595.0,591.0,495.0,434.0,407.0,389.0,372.0,286.0,156.0,0.0,0.0,0.0,0.0,0.0,6.0,61.0,61.0,51.0,640.0,20210222T101021_20210222T101415_T32UQD,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
14,204.0,146.0,312.0,213.0,250.0,343.0,307.0,333.0,355.0,368.0,361.0,382.0,410.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,36.0,33.0,1182.0,20210225T102021_20210225T102421_T33UUU,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
15,84.0,108.0,82.0,70.0,185.0,191.0,87.0,67.0,31.0,61.0,34.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,20.0,9.0,1225.0,20210531T101559_20210531T101558_T33UUV,Peetschsee,53.16750687657246,13.07633612211855,"{""type"":""Point"",""coordinates"":[13.07633612211855,53.16750687657245]}"
