system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,1.0,24.0,27.0,1.0,152.0,80.0,94.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.0,8.0,456.0,20190216T102111_20190216T102131_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
1,59.0,119.0,48.0,29.0,157.0,267.0,156.0,244.0,112.0,118.0,93.0,80.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,28.0,16.0,759.0,20190422T102029_20190422T102029_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
2,65.0,216.0,71.0,58.0,262.0,323.0,195.0,276.0,156.0,161.0,156.0,123.0,112.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,33.0,20.0,669.0,20190419T101029_20190419T101030_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
3,113.0,297.0,127.0,94.0,277.0,373.0,266.0,319.0,237.0,223.0,203.0,176.0,157.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,38.0,28.0,664.0,20190407T102021_20190407T102458_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
4,84.0,190.0,91.0,60.0,160.0,391.0,241.0,301.0,138.0,124.0,106.0,115.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,40.0,25.0,1879.0,20190726T102031_20190726T102028_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
5,95.0,149.0,50.0,65.0,203.0,283.0,172.0,227.0,119.0,115.0,105.0,85.0,45.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,29.0,18.0,606.0,20190402T102029_20190402T102026_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
6,114.0,207.0,45.0,49.0,162.0,210.0,168.0,201.0,93.0,21.0,64.0,66.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,21.0,18.0,533.0,20191210T101411_20191210T101409_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
7,150.0,132.0,61.0,58.0,116.0,307.0,201.0,273.0,78.0,49.0,43.0,19.0,,0.0,0.0,0.0,0.0,0.0,6.0,14.0,32.0,21.0,1218.0,20190911T101021_20190911T101023_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
8,65.0,54.0,28.0,32.0,161.0,227.0,173.0,152.0,54.0,56.0,63.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,25.0,19.0,599.0,20190218T101059_20190218T101421_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
9,82.0,216.0,77.0,52.0,163.0,306.0,227.0,294.0,90.0,83.0,67.0,52.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,32.0,25.0,1973.0,20190603T101031_20190603T101041_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
10,272.0,460.0,934.0,698.0,709.0,832.0,645.0,822.0,889.0,1003.0,1008.0,1011.0,2020.0,0.0,0.0,0.0,0.0,0.0,10.0,73.0,87.0,68.0,3235.0,20190827T101029_20190827T101554_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
11,59.0,205.0,46.0,53.0,319.0,375.0,303.0,327.0,248.0,205.0,203.0,170.0,54.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,39.0,31.0,963.0,20190208T101159_20190208T101158_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
12,84.0,83.0,107.0,69.0,103.0,311.0,189.0,288.0,155.0,145.0,125.0,119.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,32.0,20.0,2330.0,20191014T102031_20191014T102207_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
13,113.0,240.0,61.0,57.0,282.0,346.0,233.0,299.0,189.0,182.0,170.0,136.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,36.0,24.0,618.0,20190409T101029_20190409T101028_T33UVU,Plagesee,52.88820777144499,13.937127069515407,"{""type"":""Point"",""coordinates"":[13.937127069515405,52.88820777144499]}"
