system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,66.0,1204.0,1024.0,1024.0,1226.0,1691.0,1367.0,1999.0,1432.0,1369.0,1317.0,1177.0,1010.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,70.0,37.0,496.0,20220309T100841_20220309T101114_T33UUT,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
1,66.0,1166.0,1026.0,1027.0,1204.0,1686.0,1364.0,2001.0,1420.0,1364.0,1318.0,1176.0,1008.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,70.0,37.0,469.0,20220309T100841_20220309T101114_T32UQD,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
2,66.0,1167.0,1024.0,1023.0,1202.0,1680.0,1360.0,1990.0,1425.0,1364.0,1313.0,1175.0,1004.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,70.0,37.0,467.0,20220309T100841_20220309T101114_T33UUU,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
3,102.0,1216.0,1048.0,1027.0,1218.0,1342.0,1282.0,1481.0,1198.0,1172.0,1174.0,1132.0,970.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,36.0,28.0,950.0,20221114T101301_20221114T101258_T33UUT,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
4,78.0,1192.0,1034.0,1026.0,1282.0,1468.0,1291.0,1528.0,1199.0,1186.0,1146.0,1091.0,1028.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,48.0,30.0,1232.0,20220930T100729_20220930T101327_T33UUU,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
5,78.0,1191.0,1033.0,1026.0,1285.0,1461.0,1289.0,1526.0,1198.0,1188.0,1148.0,1092.0,1028.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,47.0,30.0,1232.0,20220930T100729_20220930T101327_T32UQD,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
6,72.0,168.0,15.0,32.0,287.0,385.0,262.0,408.0,175.0,159.0,152.0,74.0,39.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,39.0,25.0,474.0,20220106T102319_20220106T102345_T33UUU,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
7,72.0,162.0,18.0,31.0,316.0,382.0,252.0,398.0,171.0,171.0,151.0,79.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,40.0,26.0,486.0,20220106T102319_20220106T102345_T32UQD,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
8,60.0,1052.0,1015.0,1017.0,1248.0,1612.0,1349.0,1938.0,1434.0,1347.0,1297.0,1183.0,992.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,62.0,34.0,583.0,20220307T101759_20220307T102247_T33UUU,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
9,90.0,1187.0,1029.0,1024.0,1220.0,1318.0,1149.0,1220.0,1073.0,1072.0,1063.0,1030.0,1032.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,33.0,16.0,1264.0,20220622T100559_20220622T101515_T32UQD,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
10,60.0,1056.0,1014.0,1018.0,1232.0,1608.0,1330.0,1940.0,1438.0,1355.0,1300.0,1179.0,995.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,62.0,33.0,587.0,20220307T101759_20220307T102247_T32UQD,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
11,84.0,1192.0,1030.0,1026.0,1225.0,1320.0,1156.0,1225.0,1080.0,1078.0,1068.0,1035.0,1035.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,33.0,16.0,1279.0,20220622T100559_20220622T101515_T33UUU,Rangsdorfer_See,52.28797327215473,13.405392288473713,"{""type"":""Point"",""coordinates"":[13.405392288473713,52.28797327215473]}"
