system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,84.0,143.0,53.0,48.0,141.0,211.0,149.0,155.0,125.0,122.0,99.0,89.0,68.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,21.0,15.0,1143.0,20210903T102021_20210903T102024_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
1,204.0,98.0,350.0,247.0,228.0,353.0,326.0,380.0,367.0,371.0,401.0,386.0,421.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,36.0,34.0,1183.0,20210225T102021_20210225T102421_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
2,84.0,147.0,55.0,48.0,133.0,214.0,145.0,151.0,124.0,123.0,101.0,92.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,22.0,15.0,1127.0,20210903T102021_20210903T102024_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
3,66.0,197.0,53.0,44.0,200.0,219.0,128.0,110.0,90.0,69.0,84.0,93.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,23.0,14.0,640.0,20210222T101021_20210222T101415_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
4,66.0,194.0,51.0,46.0,181.0,209.0,114.0,113.0,87.0,69.0,77.0,93.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,22.0,12.0,640.0,20210222T101021_20210222T101415_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
5,204.0,102.0,350.0,244.0,197.0,353.0,330.0,381.0,371.0,374.0,415.0,392.0,427.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,36.0,34.0,1182.0,20210225T102021_20210225T102421_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
6,60.0,77.0,45.0,41.0,144.0,154.0,59.0,45.0,41.0,54.0,51.0,38.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,16.0,6.0,946.0,20210531T101559_20210531T101558_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
7,60.0,74.0,44.0,40.0,143.0,157.0,60.0,44.0,41.0,50.0,50.0,35.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,16.0,7.0,948.0,20210531T101559_20210531T101558_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
8,168.0,318.0,69.0,59.0,318.0,308.0,170.0,150.0,117.0,137.0,96.0,96.0,53.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,32.0,18.0,2549.0,20210617T100559_20210617T101301_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
9,174.0,314.0,70.0,59.0,308.0,311.0,169.0,148.0,112.0,134.0,94.0,93.0,42.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,32.0,18.0,2541.0,20210617T100559_20210617T101301_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
10,96.0,187.0,45.0,39.0,201.0,185.0,84.0,67.0,34.0,59.0,42.0,32.0,73.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,19.0,9.0,1775.0,20210607T100559_20210607T101225_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
11,102.0,176.0,45.0,37.0,203.0,181.0,77.0,61.0,26.0,49.0,32.0,23.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,19.0,8.0,1806.0,20210607T100559_20210607T101225_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
12,66.0,157.0,41.0,38.0,104.0,123.0,99.0,115.0,57.0,67.0,53.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,13.0,11.0,587.0,20211010T100941_20211010T101120_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
13,66.0,157.0,41.0,37.0,97.0,125.0,99.0,119.0,55.0,67.0,53.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,13.0,11.0,585.0,20211010T100941_20211010T101120_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
14,78.0,155.0,52.0,36.0,193.0,279.0,151.0,192.0,111.0,140.0,107.0,101.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.0,16.0,1982.0,20210908T101559_20210908T102114_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
15,78.0,151.0,54.0,36.0,192.0,268.0,151.0,194.0,106.0,139.0,106.0,101.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,28.0,16.0,1984.0,20210908T101559_20210908T102114_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
16,66.0,1.0,37.0,43.0,38.0,60.0,30.0,36.0,4.0,19.0,30.0,16.0,,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,3.0,1368.0,20211028T102039_20211028T102038_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
17,66.0,1.0,37.0,43.0,45.0,59.0,38.0,31.0,9.0,23.0,32.0,15.0,,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,4.0,1351.0,20211028T102039_20211028T102038_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
18,72.0,65.0,147.0,135.0,135.0,192.0,140.0,172.0,130.0,146.0,151.0,135.0,174.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,20.0,14.0,686.0,20210322T101649_20210322T101644_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
19,60.0,100.0,45.0,40.0,94.0,89.0,101.0,64.0,39.0,9.0,49.0,59.0,,0.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,11.0,674.0,20211122T102331_20211122T102421_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
20,120.0,376.0,84.0,74.0,395.0,383.0,260.0,293.0,272.0,283.0,257.0,220.0,168.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,39.0,27.0,779.0,20210428T100549_20210428T100550_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
21,72.0,62.0,143.0,132.0,140.0,194.0,140.0,172.0,129.0,147.0,147.0,136.0,177.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,20.0,15.0,697.0,20210322T101649_20210322T101644_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
22,60.0,112.0,46.0,40.0,112.0,87.0,117.0,68.0,39.0,10.0,50.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,9.0,12.0,675.0,20211122T102331_20211122T102421_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
23,126.0,371.0,82.0,75.0,373.0,372.0,254.0,287.0,262.0,276.0,251.0,216.0,162.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,38.0,26.0,774.0,20210428T100549_20210428T100550_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
24,162.0,357.0,111.0,59.0,305.0,465.0,268.0,281.0,174.0,187.0,158.0,156.0,101.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,48.0,28.0,2947.0,20210910T101031_20210910T101503_T33UUU,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
25,162.0,356.0,111.0,59.0,318.0,457.0,262.0,277.0,173.0,186.0,161.0,156.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,47.0,27.0,2961.0,20210910T101031_20210910T101503_T32UQD,Ruppiner_See,52.89464873174159,12.811815056113675,"{""type"":""Point"",""coordinates"":[12.811815056113678,52.89464873174159]}"
