system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,84.0,198.0,48.0,40.0,205.0,334.0,193.0,179.0,109.0,101.0,93.0,89.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,34.0,20.0,1143.0,20210903T102021_20210903T102024_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
1,204.0,160.0,387.0,288.0,320.0,455.0,369.0,404.0,423.0,392.0,431.0,434.0,512.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,47.0,38.0,1183.0,20210225T102021_20210225T102421_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
2,84.0,196.0,53.0,36.0,208.0,333.0,192.0,179.0,112.0,99.0,94.0,91.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,34.0,20.0,1127.0,20210903T102021_20210903T102024_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
3,66.0,429.0,52.0,46.0,426.0,538.0,387.0,325.0,283.0,263.0,255.0,222.0,123.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,55.0,40.0,640.0,20210222T101021_20210222T101415_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
4,66.0,492.0,51.0,44.0,423.0,527.0,384.0,360.0,296.0,281.0,250.0,206.0,142.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,54.0,40.0,640.0,20210222T101021_20210222T101415_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
5,204.0,150.0,396.0,289.0,330.0,458.0,368.0,406.0,421.0,392.0,433.0,432.0,519.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,47.0,38.0,1182.0,20210225T102021_20210225T102421_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
6,204.0,239.0,381.0,282.0,357.0,468.0,376.0,397.0,412.0,380.0,421.0,423.0,393.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,48.0,39.0,977.0,20210225T102021_20210225T102421_T32UQC,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
7,204.0,218.0,390.0,283.0,368.0,469.0,372.0,399.0,407.0,381.0,421.0,424.0,404.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,48.0,38.0,991.0,20210225T102021_20210225T102421_T33UUT,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
8,60.0,135.0,45.0,45.0,190.0,236.0,109.0,89.0,43.0,45.0,43.0,47.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,24.0,12.0,946.0,20210531T101559_20210531T101558_T33UUU,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
9,60.0,132.0,44.0,48.0,187.0,237.0,110.0,87.0,43.0,44.0,43.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,25.0,12.0,948.0,20210531T101559_20210531T101558_T32UQD,Seddiner_See,52.27411255201718,13.031033960147811,"{""type"":""Point"",""coordinates"":[13.031033960147813,52.27411255201718]}"
