system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,65.0,289.0,56.0,40.0,295.0,237.0,131.0,121.0,119.0,129.0,111.0,112.0,84.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,25.0,14.0,648.0,20190419T101029_20190419T101030_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
1,65.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,504.0,20190216T102111_20190216T102131_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
2,65.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,499.0,20190216T102111_20190216T102131_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
3,65.0,318.0,54.0,35.0,295.0,240.0,134.0,120.0,121.0,132.0,116.0,103.0,88.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,25.0,14.0,652.0,20190419T101029_20190419T101030_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
4,59.0,72.0,39.0,34.0,146.0,155.0,52.0,46.0,40.0,47.0,44.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,6.0,683.0,20190422T102029_20190422T102029_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
5,59.0,94.0,39.0,35.0,136.0,152.0,55.0,55.0,41.0,49.0,48.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,16.0,6.0,686.0,20190422T102029_20190422T102029_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
6,96.0,287.0,46.0,35.0,416.0,513.0,142.0,103.0,101.0,110.0,86.0,90.0,80.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,53.0,15.0,1835.0,20190726T102031_20190726T102028_T32UQE,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
7,96.0,323.0,49.0,41.0,417.0,510.0,145.0,106.0,107.0,111.0,94.0,100.0,89.0,0.0,0.0,0.0,0.0,0.0,6.0,43.0,52.0,15.0,1832.0,20190726T102031_20190726T102028_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
8,65.0,1.0,8.0,1.0,13.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,,454.0,20190216T102111_20190216T102131_T33UUU,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
9,65.0,1.0,5.0,7.0,10.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,452.0,20190216T102111_20190216T102131_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
10,110.0,287.0,27.0,25.0,201.0,209.0,73.0,72.0,52.0,60.0,43.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,22.0,8.0,1358.0,20190623T101031_20190623T101029_T33UUV,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
11,96.0,303.0,46.0,35.0,425.0,518.0,145.0,107.0,103.0,110.0,88.0,91.0,98.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,53.0,15.0,2035.0,20190726T102031_20190726T102028_T32UQD,Stechlinsee,53.14881963524088,13.032429184469487,"{""type"":""Point"",""coordinates"":[13.032429184469489,53.14881963524088]}"
