system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,204.0,154.0,430.0,291.0,330.0,549.0,465.0,495.0,448.0,467.0,491.0,485.0,521.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,56.0,48.0,977.0,20210225T102021_20210225T102421_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
1,204.0,160.0,432.0,287.0,316.0,444.0,429.0,486.0,451.0,470.0,460.0,487.0,526.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,45.0,43.0,991.0,20210225T102021_20210225T102421_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
2,66.0,123.0,30.0,27.0,95.0,252.0,109.0,129.0,45.0,61.0,66.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,25.0,12.0,618.0,20210222T101021_20210222T101415_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
3,90.0,159.0,23.0,25.0,286.0,419.0,229.0,304.0,126.0,124.0,100.0,84.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,44.0,26.0,1951.0,20210908T101559_20210908T102114_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
4,66.0,119.0,31.0,25.0,86.0,228.0,115.0,137.0,43.0,66.0,79.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,24.0,12.0,613.0,20210222T101021_20210222T101415_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
5,72.0,139.0,22.0,15.0,93.0,185.0,105.0,152.0,59.0,68.0,66.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,19.0,11.0,514.0,20211010T100941_20211010T101120_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
6,66.0,1.0,1.0,34.0,96.0,194.0,98.0,147.0,41.0,36.0,29.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,21.0,10.0,1126.0,20211028T102039_20211028T102038_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
7,72.0,139.0,21.0,14.0,122.0,207.0,120.0,150.0,57.0,69.0,57.0,53.0,,0.0,0.0,0.0,0.0,0.0,6.0,14.0,22.0,13.0,518.0,20211010T100941_20211010T101120_T33UUT,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
8,66.0,1.0,2.0,25.0,96.0,219.0,100.0,141.0,42.0,39.0,42.0,27.0,,0.0,0.0,0.0,0.0,0.0,6.0,9.0,21.0,9.0,1116.0,20211028T102039_20211028T102038_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
9,156.0,303.0,94.0,101.0,379.0,461.0,307.0,310.0,132.0,134.0,128.0,99.0,72.0,0.0,0.0,0.0,0.0,0.0,6.0,39.0,47.0,32.0,2276.0,20210617T100559_20210617T101301_T32UQC,mellensee,52.17062861611675,13.410681878964734,"{""type"":""Point"",""coordinates"":[13.410681878964736,52.17062861611676]}"
